idnum,age,cohort,sex,race,sexornt,born,sibs,agekdbrn,childs,chldidel,marital,martype,educ,degree,majorcol,othlang,dwelling,dwelown,hompop,income16,rincom16,prestg10,papres10,mapres10,sppres10,sei10,pasei10,masei10,spsei10,region,parborn,paeduc,maeduc,speduc,zodiac,relig,attend,reliten,postlife,pray,relig16,sprel,prayer,bible,god,relpersn,sprtprsn,happy,hapmar,health,life,rushed,bored,evbrkdwn,lotr1,lotr2,lotr3,lotr4,lotr5,lotr6,hope1,hope2,hope3,hope4,hope5,hope6,res16,reg16,mobile16,family16,famdif16,partyid,polviews,polint,colath,colrac,colcom,colmil,colhomo,colmslm,cappun,gunlaw,courts,grass,aged,raclive,affrmact,marblk,marasian,marhisp,trust,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,abdefect,abnomore,abhlth,abpoor,abrape,absingle,abany,pillok,sexeduc,divlaw,premarsx,teensex,xmarsex,homosex,pornlaw,xmovie,spanking,polhitok,polabuse,polmurdr,polescap,polattak,fechld,fefam,meovrwrk,marhomo,taxrich,taxmid,taxpoor,letin1,spenviro,sphlth,sppolice,spschool,sparms,spretire,spunemp,sparts,socrel,socommun,socfrend,socbar,wrkstat,wrkslf,spwrksta,satjob,worryjob,stresswk,vetyears,class,satfin,finrela,getahead,parsol,fear,owngun,rowngun,hunt,news,tvhours,compuse,emailmin,emailhr,wwwhr,wwwmin,newsfrom,scifrom,astrosci,intintl,intenvir,partners,frndsex,acqntsex,pikupsex,paidsex,othersex,sexsex,sexfreq,numwomen,nummen,partnrs5,sexsex5,evpaidsx,evstray,intuse,intmbile,intrecnt,twitter,facebook,instagrm,linkedin,snapchat,tumblr,whatsapp,googlesn,pinterst,flickr,vine,clssmtes,snsmoth1,wtss,wtssnr,wtssall
1670,21,1995,2,3,3,2,2,0,0,3,5,0,15,1,0,1,7,2,3,9,9,31,35,53,0,19.6000003814697,32,41.0999984741211,0,5,8,13,18,97,2,2,4,2,1,5,2,0,1,2,5,2,3,2,0,0,0,0,0,2,4,3,4,3,2,5,7,8,6,7,8,7,3,5,2,1,0,1,3,5,0,0,0,0,0,0,1,0,8,1,1,1,4,3,3,3,2,2,2,2,2,2,2,3,2,3,2,1,2,1,0,0,0,0,0,0,0,4,1,2,3,1,0,0,1,1,2,1,2,2,1,1,2,4,2,0,4,3,3,3,2,4,3,3,4,3,4,4,1,3,2,4,2,2,0,1,0,0,0,2,2,3,0,1,0,0,0,0,5,1,1,0,5,15,0,3,3,3,3,1,1,0,0,0,0,0,1,2,0,1,1,1,2,3,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,1,1.43549025058746,1.53383278846741,1.43549025058746
1671,23,1993,2,1,2,1,4,0,0,-1,5,0,16,3,0,1,7,0,1,10,5,30,50,61,0,24.1000003814697,68.5999984741211,84.3000030517578,0,5,0,15,13,97,8,4,1,4,8,9,4,0,0,3,1,4,4,3,0,2,1,1,2,1,2,3,2,3,4,2,7,7,6,6,6,6,3,5,2,3,2,7,3,0,4,4,5,4,4,4,1,1,8,1,3,1,0,0,0,0,2,3,3,3,2,2,2,3,2,3,1,1,3,2,1,1,1,1,1,1,1,0,0,0,0,0,2,4,3,1,0,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,0,0,2,3,2,3,2,2,2,0,4,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,1,3,3,12,6,2,2,3,1,1,1,1,1,2,1,2,2,2,2,1,2,2,2,1,.478496760129929,.511277616024017,.478496760129929
1672,67,1949,2,1,3,1,2,36,2,8,3,0,16,4,0,1,5,2,1,16,13,74,0,64,0,84.5,0,84.1999969482422,0,5,0,97,17,97,3,4,4,4,2,6,1,0,1,3,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,5,2,1,2,0,0,0,0,0,0,0,2,0,8,8,1,2,9,2,2,2,9,2,3,3,2,2,2,2,3,3,2,2,3,3,0,0,0,0,0,0,0,2,1,2,4,2,0,0,1,2,4,2,2,2,2,2,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,5,4,7,2,2,0,2,4,0,0,3,1,2,0,3,0,0,0,0,4,0,1,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,.478496760129929,.511277616024017,.478496760129929
1673,36,1980,2,1,0,1,1,0,0,3,1,1,16,3,12,2,2,2,2,27,0,57,35,38,74,75.5999984741211,24,39.2000007629395,84.5,5,0,12,12,12,12,4,0,4,1,9,1,10,1,3,3,4,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,1,0,0,1,3,4,5,5,4,4,4,2,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,3,4,1,1,4,0,0,3,0,0,0,0,0,1,4,1,1,5,1,1,2,1,1,4,2,4,2,3,2,5,7,2,2,7,2,1,3,0,0,0,3,3,9,2,0,2,2,0,4,3,2,1,0,14,45,0,3,3,3,1,1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56436336040497,1.67153465747833,1.56436336040497
1674,28,1988,1,1,3,1,2,0,0,-1,5,0,14,2,0,2,3,0,1,1,0,0,64,61,0,0,91.9000015258789,80.9000015258789,0,5,0,18,18,97,7,4,2,4,2,6,1,0,0,3,1,4,3,2,0,2,1,1,0,0,3,3,4,3,3,4,6,7,7,5,6,5,5,5,2,1,0,3,4,0,4,5,5,4,4,4,8,1,3,1,2,2,0,0,0,0,1,2,2,3,2,3,3,2,1,3,2,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,2,4,2,1,0,1,2,8,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,3,2,3,1,3,2,2,0,4,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,3,1,1,1,2,2,3,3,16,0,5,3,2,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,.478496760129929,.511277616024017,.478496760129929
1675,39,1977,2,1,0,1,0,0,0,8,3,0,12,1,0,1,2,1,2,16,16,27,0,32,35,23.2999992370605,99.9000015258789,13.1999998092651,25,5,0,5,12,97,11,1,0,2,1,2,1,0,1,2,6,4,4,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,8,1,2,8,5,4,5,5,4,4,4,1,1,3,0,0,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,3,4,1,1,4,0,0,1,0,0,0,0,0,3,3,2,1,3,3,3,3,2,2,2,2,2,2,3,4,4,7,3,6,1,2,0,9,0,0,0,2,2,3,1,0,2,1,1,4,4,2,2,0,0,28,0,3,3,3,2,2,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.956993520259857,1.02255523204803,.956993520259857
1676,47,1969,2,3,3,2,6,42,1,-1,4,0,16,3,0,1,2,0,2,18,13,31,28,0,0,39.7000007629395,25.2000007629395,0,0,5,8,6,6,97,2,1,5,1,1,1,2,0,0,1,6,2,3,3,0,2,2,1,0,0,4,4,5,2,2,5,3,3,2,2,7,5,4,0,3,8,1,5,3,0,5,4,4,4,5,5,1,1,8,2,1,1,0,0,0,0,3,2,1,2,1,8,2,1,1,1,2,1,2,1,1,2,1,2,1,2,2,0,0,0,0,0,1,1,2,2,0,2,2,2,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,1,0,2,3,2,1,1,2,2,0,4,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,1,2,2,1,1,1,2,1,2,2,1,2,2,1,2,2,2,2,2,.478496760129929,.511277616024017,.478496760129929
1677,30,1986,2,1,1,1,0,14,1,1,3,0,13,0,0,2,2,1,3,15,0,25,0,0,0,12.6000003814697,99.9000015258789,0,0,5,0,98,5,97,5,4,0,4,2,6,1,0,2,3,1,4,4,2,0,0,0,0,0,1,3,4,2,4,4,2,7,2,5,1,1,2,3,5,1,8,5,3,6,5,0,0,0,0,0,0,2,0,3,1,1,2,8,3,3,3,2,2,2,2,3,3,3,2,2,2,2,3,3,3,0,0,0,0,0,0,0,2,1,1,4,4,0,0,2,1,3,2,2,2,1,1,2,4,3,0,3,3,2,4,2,1,3,2,3,3,4,4,1,7,7,7,1,2,0,2,0,0,0,1,3,2,0,3,0,0,0,0,5,2,1,30,0,4,0,8,8,2,3,2,1,2,2,1,2,2,3,6,6,18,5,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,2,2,2,2,.956993520259857,1.02255523204803,.956993520259857
1678,52,1964,1,1,3,1,0,41,1,-1,5,0,18,4,0,2,3,0,1,20,20,65,25,47,0,59.4000015258789,23.2999992370605,38.7999992370605,0,5,0,13,12,97,5,4,0,4,2,6,2,0,0,3,1,4,3,2,0,1,1,2,3,2,3,3,3,3,2,4,8,7,6,7,7,5,3,9,3,1,0,2,2,0,4,4,5,4,4,4,1,1,2,1,1,1,0,0,0,0,2,3,2,3,2,3,2,3,3,3,3,2,3,2,1,1,1,1,1,1,1,0,0,0,0,0,4,4,3,2,0,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,4,0,0,2,2,3,1,4,2,2,0,4,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,1,1,2,2,2,2,3,1,999,0,3,3,2,3,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,.782181680202484,.835767328739166,.782181680202484
1679,60,1956,2,1,0,1,7,19,1,3,1,1,8,0,0,2,2,1,3,98,13,24,0,25,24,20.7000007629395,99.9000015258789,12.6000003814697,20.7000007629395,5,0,6,98,10,2,1,7,1,1,1,1,1,2,1,6,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,1,0,5,8,4,4,5,5,5,4,5,1,2,3,0,0,2,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,2,2,2,1,3,4,2,1,1,0,0,2,0,0,0,0,0,2,3,2,4,4,2,1,5,3,2,3,2,2,2,2,4,4,4,4,7,1,2,8,1,0,0,0,2,3,3,1,0,1,1,1,2,4,1,2,0,0,-1,-1,5,5,2,3,2,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43549025058746,1.53383278846741,1.43549025058746
